#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
IL6R	IL6ST	1854808	1852144	9606.ENSP00000357470	9606.ENSP00000338799	0	0	0	0.620	0.053	0.870	0.900	0.822	0.990
JAK1	SOCS3	1852670	1851244	9606.ENSP00000343204	9606.ENSP00000330341	0	0	0	0	0.058	0.570	0.900	0.792	0.990
POLI	REV1	1863718	1844606	9606.ENSP00000462664	9606.ENSP00000258428	0	0	0	0.622	0.154	0.861	0.900	0.708	0.990
SERPINC1	PLG	1854649	1849130	9606.ENSP00000356671	9606.ENSP00000308938	0.074	0	0	0	0.641	0.446	0	0.955	0.990
DUSP16	MAPK1	1843167	1842512	9606.ENSP00000228862	9606.ENSP00000215832	0	0	0	0	0.053	0.664	0.900	0.733	0.990
NOS3	KNG1	1847875	1845668	9606.ENSP00000297494	9606.ENSP00000265023	0	0	0	0	0	0	0.900	0.908	0.990
VTN	SERPINE1	1843077	1842959	9606.ENSP00000226218	9606.ENSP00000223095	0	0	0	0	0.045	0.360	0.900	0.866	0.990
JUN	SMAD3	1855436	1851536	9606.ENSP00000360266	9606.ENSP00000332973	0	0	0	0	0	0.396	0.900	0.837	0.989
GYS1	PYGB	1849993	1842631	9606.ENSP00000317904	9606.ENSP00000216962	0.073	0	0	0	0.712	0	0.905	0.639	0.989
PSEN2	NOTCH1	1854447	1846535	9606.ENSP00000355747	9606.ENSP00000277541	0	0	0	0	0.047	0.606	0.900	0.742	0.989
EPM2A	PPP1R3C	1854611	1843508	9606.ENSP00000356489	9606.ENSP00000238994	0	0	0	0	0	0.360	0.900	0.853	0.989
CTNNB1	TCF7L1	1852818	1846772	9606.ENSP00000344456	9606.ENSP00000282111	0	0	0	0	0	0.693	0.900	0.692	0.989
PIK3CD	PIK3R1	1856668	1846375	9606.ENSP00000366563	9606.ENSP00000274335	0	0	0	0	0.065	0.745	0.900	0.614	0.989
BRCA1	H2AFX	1861387	1856252	9606.ENSP00000418960	9606.ENSP00000364310	0	0	0	0	0.055	0.360	0.900	0.846	0.989
PIK3CD	CDC42	1856668	1849707	9606.ENSP00000366563	9606.ENSP00000314458	0	0	0	0	0.055	0.808	0.800	0.742	0.989
GYS1	PYGL	1849993	1842591	9606.ENSP00000317904	9606.ENSP00000216392	0.073	0	0	0	0.712	0	0.905	0.637	0.989
GATA3	IL4	1857010	1843288	9606.ENSP00000368632	9606.ENSP00000231449	0	0	0	0	0.057	0	0.900	0.898	0.989
DVL3	WNT3A	1849842	1846912	9606.ENSP00000316054	9606.ENSP00000284523	0	0	0	0	0.054	0.294	0.900	0.867	0.989
GYG2	GYS1	1857343	1849993	9606.ENSP00000370555	9606.ENSP00000317904	0	0	0	0	0.099	0.859	0.900	0.273	0.989
HIF1A	EGLN2	1852062	1848912	9606.ENSP00000338018	9606.ENSP00000307080	0	0	0	0	0	0.565	0.900	0.779	0.989
PIK3CA	INS	1845446	1844030	9606.ENSP00000263967	9606.ENSP00000250971	0	0	0	0	0	0	0.900	0.895	0.989
CDA	UPP1	1856229	1851208	9606.ENSP00000364212	9606.ENSP00000330032	0.309	0	0	0	0.126	0	0.941	0.728	0.989
ME1	PKM	1855083	1850212	9606.ENSP00000358719	9606.ENSP00000320171	0.068	0	0	0	0.119	0.417	0.941	0.673	0.989
MYC	STAT3	1856789	1845584	9606.ENSP00000367207	9606.ENSP00000264657	0	0	0	0	0	0.360	0.900	0.851	0.989
BMP6	BMPR1A	1846835	1843002	9606.ENSP00000283147	9606.ENSP00000224764	0	0	0	0	0.051	0.528	0.900	0.792	0.989
PIK3CD	IRS2	1856668	1856394	9606.ENSP00000366563	9606.ENSP00000365016	0	0	0	0	0.055	0.574	0.800	0.884	0.989
FOXO4	AKT1	1856074	1846136	9606.ENSP00000363377	9606.ENSP00000270202	0	0	0	0	0	0.519	0.900	0.792	0.989
EGF	TGFB1	1845705	1842869	9606.ENSP00000265171	9606.ENSP00000221930	0	0	0	0	0	0	0.900	0.897	0.989
PCNA	UNG	1856984	1843631	9606.ENSP00000368438	9606.ENSP00000242576	0	0	0	0	0.334	0.913	0	0.826	0.989
RAD51B	BRCA2	1861422	1857163	9606.ENSP00000419471	9606.ENSP00000369497	0	0	0	0	0.076	0.756	0.900	0.591	0.989
HDAC2	KAT2B	1861837	1845408	9606.ENSP00000430432	9606.ENSP00000263754	0	0	0	0	0.121	0.474	0.900	0.808	0.989
AKT1	ESR1	1846136	1842435	9606.ENSP00000270202	9606.ENSP00000206249	0	0	0	0	0	0.371	0.900	0.848	0.989
BRCA1	UIMC1	1861387	1856644	9606.ENSP00000418960	9606.ENSP00000366434	0	0	0	0	0	0.774	0.900	0.578	0.989
CASP9	BIRC5	1851230	1848314	9606.ENSP00000330237	9606.ENSP00000301633	0	0	0	0	0	0.657	0.800	0.859	0.989
PCNA	POLK	1856984	1843597	9606.ENSP00000368438	9606.ENSP00000241436	0	0	0	0	0.074	0.853	0.900	0.335	0.989
VDR	MED1	1862386	1848202	9606.ENSP00000447173	9606.ENSP00000300651	0	0	0	0	0.052	0.777	0.900	0.578	0.989
SUV39H1	HDAC1	1856539	1855935	9606.ENSP00000365877	9606.ENSP00000362649	0.065	0	0	0	0.101	0.533	0.900	0.771	0.989
IL6R	STAT3	1854808	1845584	9606.ENSP00000357470	9606.ENSP00000264657	0	0	0	0	0.074	0.360	0.900	0.838	0.989
PPIA	BSG	1861418	1851624	9606.ENSP00000419425	9606.ENSP00000333769	0	0	0	0	0.056	0.360	0.900	0.848	0.989
TH	DDC	1857346	1853612	9606.ENSP00000370571	9606.ENSP00000350616	0	0	0	0	0.055	0.170	0.907	0.866	0.989
PTEN	PTK2	1855586	1852426	9606.ENSP00000361021	9606.ENSP00000341189	0	0	0	0	0.054	0.621	0.900	0.733	0.989
INSR	PIK3CA	1848574	1845446	9606.ENSP00000303830	9606.ENSP00000263967	0	0	0	0	0.058	0.110	0.900	0.890	0.989
PRKAA1	TSC2	1853021	1842755	9606.ENSP00000346148	9606.ENSP00000219476	0	0	0	0	0.054	0.396	0.900	0.839	0.989
RFC5	MCM7	1860712	1848945	9606.ENSP00000408295	9606.ENSP00000307288	0.086	0	0	0	0.802	0.178	0.900	0.389	0.989
CDC20	ANAPC15	1849070	1843121	9606.ENSP00000308450	9606.ENSP00000227618	0	0	0	0	0.099	0.880	0.900	0.166	0.989
EXO1	MSH6	1849472	1843401	9606.ENSP00000311873	9606.ENSP00000234420	0.064	0	0	0	0.343	0.188	0.900	0.828	0.989
HEY2	NOTCH1	1854786	1846535	9606.ENSP00000357348	9606.ENSP00000277541	0	0	0	0	0	0.408	0.900	0.835	0.989
FSHR	CGA	1858974	1855062	9606.ENSP00000384708	9606.ENSP00000358595	0	0	0	0	0.052	0.817	0.900	0.487	0.989
EXO1	RFC4	1849472	1847705	9606.ENSP00000311873	9606.ENSP00000296273	0	0	0	0	0.754	0.191	0.900	0.531	0.989
MYC	CTNNB1	1856789	1852818	9606.ENSP00000367207	9606.ENSP00000344456	0	0	0	0	0	0.329	0.900	0.856	0.989
JAK2	PTPN1	1857411	1855520	9606.ENSP00000371067	9606.ENSP00000360683	0	0	0	0	0	0.566	0.900	0.769	0.989
LEP	IRS1	1849557	1848682	9606.ENSP00000312652	9606.ENSP00000304895	0	0	0	0	0	0	0.900	0.898	0.989
MYC	CDKN1B	1856789	1843169	9606.ENSP00000367207	9606.ENSP00000228872	0	0	0	0	0	0.360	0.900	0.845	0.989
TNF	NFKB1	1860103	1843094	9606.ENSP00000398698	9606.ENSP00000226574	0	0	0	0	0.062	0.063	0.800	0.947	0.989
ARHGAP35	SRC	1859060	1853652	9606.ENSP00000385720	9606.ENSP00000350941	0	0	0	0	0.056	0.450	0.900	0.817	0.989
CDC26	ANAPC13	1856062	1853115	9606.ENSP00000363322	9606.ENSP00000346987	0	0	0	0	0.090	0.791	0.900	0.509	0.989
UBA52	SMURF2	1859324	1845144	9606.ENSP00000388107	9606.ENSP00000262435	0	0	0	0	0.053	0.812	0.900	0.475	0.989
JUN	NR3C1	1855436	1843294	9606.ENSP00000360266	9606.ENSP00000231509	0	0	0	0	0	0.407	0.900	0.829	0.989
EGF	HBEGF	1845705	1843270	9606.ENSP00000265171	9606.ENSP00000230990	0	0	0	0	0	0	0.900	0.897	0.989
CDC26	ANAPC10	1856062	1849254	9606.ENSP00000363322	9606.ENSP00000310071	0	0	0	0	0.053	0.774	0.900	0.579	0.989
PCNA	POLB	1856984	1845748	9606.ENSP00000368438	9606.ENSP00000265421	0	0	0	0	0.054	0.584	0.900	0.758	0.989
RPA1	MCM3	1844316	1843226	9606.ENSP00000254719	9606.ENSP00000229854	0	0	0	0	0.671	0.567	0.900	0.336	0.989
HSP90AA1	NR3C1	1851814	1843294	9606.ENSP00000335153	9606.ENSP00000231509	0	0	0	0	0	0.394	0.900	0.847	0.989
SMAD5	SMURF1	1862200	1854172	9606.ENSP00000441954	9606.ENSP00000354621	0	0	0	0	0.055	0.683	0.900	0.680	0.989
FGG	APOH	1851932	1842433	9606.ENSP00000336829	9606.ENSP00000205948	0	0	0	0	0.857	0.142	0.900	0.256	0.989
PCNA	LIG3	1856984	1856884	9606.ENSP00000368438	9606.ENSP00000367787	0	0	0	0	0.269	0.697	0.900	0.578	0.989
ILK	AKT1	1848060	1846136	9606.ENSP00000299421	9606.ENSP00000270202	0	0	0	0	0.054	0.422	0.900	0.831	0.989
IL1A	IL1R1	1845334	1843374	9606.ENSP00000263339	9606.ENSP00000233946	0	0	0	0	0	0.396	0.900	0.836	0.989
MYC	AKT1	1856789	1846136	9606.ENSP00000367207	9606.ENSP00000270202	0	0	0	0	0.043	0	0.900	0.902	0.989
DVL1	LRP6	1856946	1844891	9606.ENSP00000368169	9606.ENSP00000261349	0	0	0	0	0.042	0.296	0.900	0.866	0.989
SOCS3	IL6	1851244	1844631	9606.ENSP00000330341	9606.ENSP00000258743	0	0	0	0	0.169	0	0.900	0.880	0.989
CYP17A1	HSD3B1	1855129	1855017	9606.ENSP00000358903	9606.ENSP00000358421	0.063	0	0	0	0.053	0.152	0.924	0.839	0.989
PRLR	STAT5A	1857467	1852428	9606.ENSP00000371432	9606.ENSP00000341208	0	0	0	0	0	0.119	0.900	0.894	0.989
MAPK3	MAP2K2	1845265	1845250	9606.ENSP00000263025	9606.ENSP00000262948	0	0	0.213	0.646	0.151	0.821	0.900	0.920	0.989
TAB2	RIPK1	1847005	1844726	9606.ENSP00000286332	9606.ENSP00000259808	0	0	0	0	0.116	0.791	0.900	0.506	0.989
JUN	ATF2	1855436	1845482	9606.ENSP00000360266	9606.ENSP00000264110	0	0	0	0.632	0.096	0.848	0.900	0.853	0.989
SMAD5	BMP4	1862200	1843758	9606.ENSP00000441954	9606.ENSP00000245451	0	0	0	0	0.053	0.256	0.900	0.870	0.989
CASP8	TRAF2	1853692	1843873	9606.ENSP00000351273	9606.ENSP00000247668	0	0	0	0	0	0.774	0.900	0.577	0.989
SERPINE2	PLAU	1861176	1855748	9606.ENSP00000415786	9606.ENSP00000361850	0.074	0	0	0	0.044	0.657	0.900	0.715	0.989
PLAUR	SERPINE1	1852201	1842959	9606.ENSP00000339328	9606.ENSP00000223095	0	0	0	0	0.138	0	0.900	0.887	0.989
HIF1A	TP53	1852062	1846083	9606.ENSP00000338018	9606.ENSP00000269305	0	0	0	0	0.042	0.360	0.900	0.845	0.989
NLK	LEF1	1858963	1845704	9606.ENSP00000384625	9606.ENSP00000265165	0	0	0	0	0.048	0.778	0.900	0.563	0.989
CTNND1	CDH5	1858683	1852772	9606.ENSP00000382004	9606.ENSP00000344115	0	0	0	0	0.047	0.529	0.900	0.802	0.989
GADD45A	TP53	1855383	1846083	9606.ENSP00000360025	9606.ENSP00000269305	0	0	0	0	0.055	0	0.900	0.897	0.989
DKK1	LRP6	1856024	1844891	9606.ENSP00000363081	9606.ENSP00000261349	0	0	0	0	0	0.408	0.900	0.839	0.989
STAR	CYP11A1	1846496	1845987	9606.ENSP00000276449	9606.ENSP00000268053	0	0	0	0	0.243	0	0.900	0.873	0.989
SRC	CDH1	1853652	1844988	9606.ENSP00000350941	9606.ENSP00000261769	0	0	0	0	0	0.363	0.900	0.849	0.989
TP53	CCNB1	1846083	1844435	9606.ENSP00000269305	9606.ENSP00000256442	0	0	0	0	0.113	0.102	0.900	0.878	0.989
FGG	PLG	1851932	1849130	9606.ENSP00000336829	9606.ENSP00000308938	0	0	0	0	0.739	0.171	0.900	0.568	0.989
EGF	CDH1	1845705	1844988	9606.ENSP00000265171	9606.ENSP00000261769	0	0	0	0	0	0	0.900	0.897	0.989
DUSP2	MAPK1	1847145	1842512	9606.ENSP00000288943	9606.ENSP00000215832	0	0	0	0	0.053	0.664	0.900	0.719	0.989
RYK	WNT3A	1847670	1846912	9606.ENSP00000296084	9606.ENSP00000284523	0	0	0	0	0.045	0.772	0.900	0.581	0.989
SMURF1	SMAD2	1854172	1845079	9606.ENSP00000354621	9606.ENSP00000262160	0	0	0	0	0.055	0.683	0.900	0.681	0.989
JAK2	GRB2	1857411	1852164	9606.ENSP00000371067	9606.ENSP00000339007	0	0	0	0	0.050	0.540	0.900	0.788	0.989
JUN	IL6	1855436	1844631	9606.ENSP00000360266	9606.ENSP00000258743	0	0	0	0	0.051	0	0.900	0.901	0.989
FZD4	DVL2	1861957	1842132	9606.ENSP00000434034	9606.ENSP00000005340	0	0	0	0	0.055	0.424	0.900	0.837	0.989
PTPN11	MAPK3	1852389	1845265	9606.ENSP00000340944	9606.ENSP00000263025	0	0	0	0	0.055	0.662	0.900	0.721	0.989
IL18	IL1B	1846668	1845335	9606.ENSP00000280357	9606.ENSP00000263341	0	0	0	0	0	0	0.900	0.902	0.989
AMHR2	AMH	1844545	1842844	9606.ENSP00000257863	9606.ENSP00000221496	0	0	0	0	0.051	0.558	0.900	0.777	0.989
PTPN1	IRS1	1855520	1848682	9606.ENSP00000360683	9606.ENSP00000304895	0	0	0	0	0.053	0.374	0.900	0.849	0.989
BCL2L1	TP53	1848421	1846083	9606.ENSP00000302564	9606.ENSP00000269305	0	0	0	0	0	0.876	0	0.913	0.989
GYG1	GYS1	1852361	1849993	9606.ENSP00000340736	9606.ENSP00000317904	0	0	0	0	0.099	0.779	0.900	0.517	0.989
MAP2K1	MAPK3	1848411	1845265	9606.ENSP00000302486	9606.ENSP00000263025	0	0	0.218	0.642	0.092	0.821	0.900	0.982	0.989
CTNNB1	BCL9	1852818	1843409	9606.ENSP00000344456	9606.ENSP00000234739	0	0	0	0	0.053	0.800	0.900	0.487	0.989
POMC	PDYN	1845600	1842657	9606.ENSP00000264708	9606.ENSP00000217305	0	0	0	0	0.052	0	0.900	0.895	0.989
SRC	PIK3R1	1853652	1846375	9606.ENSP00000350941	9606.ENSP00000274335	0	0	0	0	0.046	0.758	0.900	0.585	0.989
NCOA3	ESR1	1855597	1842435	9606.ENSP00000361066	9606.ENSP00000206249	0	0	0	0	0	0.678	0.900	0.711	0.989
FOS	ATF2	1848822	1845482	9606.ENSP00000306245	9606.ENSP00000264110	0	0	0	0	0	0.776	0.900	0.573	0.989
JAK3	SOCS3	1859586	1851244	9606.ENSP00000391676	9606.ENSP00000330341	0	0	0	0	0.054	0.691	0.900	0.691	0.989
MAP2K1	MAPK1	1848411	1842512	9606.ENSP00000302486	9606.ENSP00000215832	0	0	0.211	0.644	0.092	0.821	0.900	0.982	0.989
PRIM1	RPA1	1853600	1844316	9606.ENSP00000350491	9606.ENSP00000254719	0	0	0	0	0.734	0.325	0.900	0.491	0.989
IL18RAP	IL18R1	1845516	1843377	9606.ENSP00000264260	9606.ENSP00000233957	0	0	0	0.716	0.419	0.800	0.900	0.734	0.989
AVP	CRH	1857196	1846502	9606.ENSP00000369647	9606.ENSP00000276571	0	0	0	0	0.054	0	0.900	0.901	0.989
BCL2L11	FOXO3	1858084	1852227	9606.ENSP00000376943	9606.ENSP00000339527	0	0	0	0	0	0.329	0.900	0.862	0.989
PCNA	WRN	1856984	1847932	9606.ENSP00000368438	9606.ENSP00000298139	0.048	0	0	0	0.122	0.360	0.900	0.841	0.989
VEGFA	SRC	1855611	1853652	9606.ENSP00000361125	9606.ENSP00000350941	0	0	0	0	0	0.098	0.900	0.897	0.989
DKK1	CTNNB1	1856024	1852818	9606.ENSP00000363081	9606.ENSP00000344456	0	0	0	0	0	0.598	0.900	0.725	0.988
MAPK10	JUND	1853804	1844164	9606.ENSP00000352157	9606.ENSP00000252818	0	0	0	0	0	0.662	0.900	0.689	0.988
CDC27	CDC26	1861977	1856062	9606.ENSP00000434614	9606.ENSP00000363322	0	0	0	0	0	0.805	0.900	0.470	0.988
HSP90AA1	ERBB2	1851814	1846101	9606.ENSP00000335153	9606.ENSP00000269571	0	0	0	0	0	0.368	0.900	0.831	0.988
PCNA	XPA	1856984	1856245	9606.ENSP00000368438	9606.ENSP00000364270	0	0	0	0	0.061	0.295	0.900	0.847	0.988
DUSP3	MAPK1	1843069	1842512	9606.ENSP00000226004	9606.ENSP00000215832	0	0	0	0	0.053	0.664	0.900	0.686	0.988
MTOR	PRKAA1	1854147	1853021	9606.ENSP00000354558	9606.ENSP00000346148	0	0	0	0	0.084	0.411	0.900	0.810	0.988
JUN	ESR1	1855436	1842435	9606.ENSP00000360266	9606.ENSP00000206249	0	0	0	0	0	0.407	0.900	0.827	0.988
PCNA	USP1	1856984	1852710	9606.ENSP00000368438	9606.ENSP00000343526	0	0	0	0	0.527	0.360	0.900	0.672	0.988
BRCA1	XRCC2	1861387	1853826	9606.ENSP00000418960	9606.ENSP00000352271	0	0	0	0	0.110	0	0.900	0.879	0.988
ITGA2B	VWF	1845134	1844904	9606.ENSP00000262407	9606.ENSP00000261405	0	0	0	0	0.088	0.360	0.900	0.823	0.988
STAT5B	EPOR	1847405	1842887	9606.ENSP00000293328	9606.ENSP00000222139	0	0	0	0	0	0.360	0.900	0.831	0.988
PCNA	GADD45A	1856984	1855383	9606.ENSP00000368438	9606.ENSP00000360025	0	0	0	0	0	0.399	0.900	0.825	0.988
HDAC2	SIRT1	1861837	1842473	9606.ENSP00000430432	9606.ENSP00000212015	0.045	0	0	0	0.164	0.359	0.900	0.808	0.988
CDK1	NEK2	1858283	1854493	9606.ENSP00000378699	9606.ENSP00000355966	0	0	0.441	0.764	0.837	0.181	0.900	0.511	0.988
STAT5B	IL2	1847405	1843096	9606.ENSP00000293328	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.887	0.988
VDR	NCOA1	1862386	1850298	9606.ENSP00000447173	9606.ENSP00000320940	0	0	0	0	0	0.709	0.900	0.629	0.988
BUB3	CDC16	1854901	1853313	9606.ENSP00000357858	9606.ENSP00000348554	0	0	0	0	0.166	0.776	0.900	0.474	0.988
MAP2K1	MAPK14	1848411	1843222	9606.ENSP00000302486	9606.ENSP00000229794	0	0	0.409	0.673	0.092	0.811	0.900	0.827	0.988
MAPK9	CDC42	1859420	1849707	9606.ENSP00000389338	9606.ENSP00000314458	0	0	0	0	0.060	0.626	0.900	0.712	0.988
PCNA	ATM	1856984	1846577	9606.ENSP00000368438	9606.ENSP00000278616	0	0	0	0	0	0.054	0.900	0.891	0.988
CREB1	PIK3CA	1859295	1845446	9606.ENSP00000387699	9606.ENSP00000263967	0	0	0	0	0.180	0	0.900	0.875	0.988
STAT5A	IL2	1852428	1843096	9606.ENSP00000341208	9606.ENSP00000226730	0	0	0	0	0	0	0.900	0.888	0.988
FZR1	PLK1	1858270	1848135	9606.ENSP00000378529	9606.ENSP00000300093	0	0	0	0	0.542	0.448	0.900	0.609	0.988
MYC	CCND1	1856789	1843117	9606.ENSP00000367207	9606.ENSP00000227507	0	0	0	0	0.049	0	0.800	0.943	0.988
RFC5	FEN1	1860712	1848737	9606.ENSP00000408295	9606.ENSP00000305480	0	0	0.231	0	0.722	0.191	0.900	0.415	0.988
PKM	LDHC	1850212	1846685	9606.ENSP00000320171	9606.ENSP00000280704	0.065	0	0	0	0.120	0.172	0.941	0.759	0.988
IKBKG	RIPK1	1855067	1844726	9606.ENSP00000358622	9606.ENSP00000259808	0	0	0	0	0	0.787	0.900	0.501	0.988
HSP90AA1	NOS3	1851814	1847875	9606.ENSP00000335153	9606.ENSP00000297494	0	0	0	0	0.053	0.360	0.900	0.827	0.988
NCOR1	PPARA	1846039	1845205	9606.ENSP00000268712	9606.ENSP00000262735	0	0	0	0	0	0.699	0.900	0.634	0.988
XRCC3	RAD51C	1852691	1851908	9606.ENSP00000343392	9606.ENSP00000336701	0	0	0.504	0.681	0.073	0.799	0.900	0.956	0.988
ALB	APOA1	1847637	1843442	9606.ENSP00000295897	9606.ENSP00000236850	0	0	0	0	0.634	0.046	0.900	0.702	0.988
CDC23	BUB3	1858243	1854901	9606.ENSP00000378350	9606.ENSP00000357858	0	0	0	0	0.253	0.774	0.900	0.398	0.988
CHEK1	MCM7	1859362	1848945	9606.ENSP00000388648	9606.ENSP00000307288	0	0	0	0	0.467	0.501	0.900	0.617	0.988
STAT5A	EPOR	1852428	1842887	9606.ENSP00000341208	9606.ENSP00000222139	0	0	0	0	0	0.360	0.900	0.832	0.988
PRLR	JAK2	1857467	1857411	9606.ENSP00000371432	9606.ENSP00000371067	0	0	0	0	0	0.407	0.900	0.819	0.988
POLD2	POLA1	1859092	1856974	9606.ENSP00000386105	9606.ENSP00000368349	0	0	0	0	0.534	0.673	0.900	0.329	0.988
PDK2	AKT1	1861508	1846136	9606.ENSP00000420927	9606.ENSP00000270202	0	0	0	0	0.054	0.379	0.900	0.825	0.988
EGF	PIK3CA	1845705	1845446	9606.ENSP00000265171	9606.ENSP00000263967	0	0	0	0	0	0	0.900	0.892	0.988
TCF7L2	NLK	1862284	1858963	9606.ENSP00000444972	9606.ENSP00000384625	0	0	0	0	0.053	0.760	0.900	0.547	0.988
POLA1	CDC6	1856974	1842453	9606.ENSP00000368349	9606.ENSP00000209728	0	0	0	0	0.583	0.424	0.900	0.561	0.988
SMAD2	ACVR1C	1845079	1843668	9606.ENSP00000262160	9606.ENSP00000243349	0	0	0	0	0.073	0.173	0.900	0.864	0.988
CD44	MMP9	1860096	1855661	9606.ENSP00000398632	9606.ENSP00000361405	0	0	0	0	0	0.360	0.900	0.829	0.988
NRIP1	ESR1	1850902	1842435	9606.ENSP00000327213	9606.ENSP00000206249	0	0	0	0	0	0.500	0.900	0.781	0.988
ALDOA	PKM	1851945	1850212	9606.ENSP00000336927	9606.ENSP00000320171	0.062	0	0	0	0.745	0.417	0.800	0.644	0.988
FZR1	CDC6	1858270	1842453	9606.ENSP00000378529	9606.ENSP00000209728	0	0	0	0	0.394	0.687	0.900	0.466	0.988
HDAC4	SIRT1	1845573	1842473	9606.ENSP00000264606	9606.ENSP00000212015	0.045	0	0	0	0.118	0.535	0.900	0.760	0.988
POLD1	PRIM1	1860575	1853600	9606.ENSP00000406046	9606.ENSP00000350491	0	0	0	0	0.433	0.567	0.900	0.578	0.988
MMP9	JUN	1855661	1855436	9606.ENSP00000361405	9606.ENSP00000360266	0	0	0	0	0.053	0.325	0.900	0.839	0.988
PAPPA	IGFBP4	1851275	1846105	9606.ENSP00000330658	9606.ENSP00000269593	0	0	0	0	0	0.360	0.900	0.833	0.988
MAPK9	FOS	1859420	1848822	9606.ENSP00000389338	9606.ENSP00000306245	0	0	0	0	0	0.385	0.900	0.822	0.988
PALB2	BRIP1	1844940	1844657	9606.ENSP00000261584	9606.ENSP00000259008	0	0	0	0	0.055	0.359	0.900	0.827	0.988
WNT5A	DVL2	1845576	1842132	9606.ENSP00000264634	9606.ENSP00000005340	0	0	0	0	0.054	0.294	0.900	0.844	0.988
XRCC3	WRN	1852691	1847932	9606.ENSP00000343392	9606.ENSP00000298139	0	0	0	0	0.073	0.622	0.900	0.709	0.988
FZD1	AXIN1	1847096	1845118	9606.ENSP00000287934	9606.ENSP00000262320	0	0	0	0	0.061	0	0.900	0.882	0.988
UPP1	TYMP	1851208	1844096	9606.ENSP00000330032	9606.ENSP00000252029	0	0	0	0	0.061	0	0.941	0.805	0.988
PTPN11	PXN	1852389	1843137	9606.ENSP00000340944	9606.ENSP00000228307	0	0	0	0	0.056	0.488	0.900	0.782	0.988
BRCA1	CHEK1	1861387	1859362	9606.ENSP00000418960	9606.ENSP00000388648	0	0	0	0	0.404	0.349	0.900	0.735	0.988
FZR1	ANAPC13	1858270	1853115	9606.ENSP00000378529	9606.ENSP00000346987	0	0	0	0	0	0.872	0.900	0.186	0.988
VEGFA	VWF	1855611	1844904	9606.ENSP00000361125	9606.ENSP00000261405	0	0	0	0	0	0	0.900	0.891	0.988
BCL2L11	MAPK8	1858084	1853988	9606.ENSP00000376943	9606.ENSP00000353483	0	0	0	0	0	0.360	0.900	0.839	0.988
STAT5A	PRL	1852428	1848376	9606.ENSP00000341208	9606.ENSP00000302150	0	0	0	0	0	0	0.900	0.888	0.988
RBPJL	NOTCH1	1852433	1846535	9606.ENSP00000341243	9606.ENSP00000277541	0	0	0	0	0.054	0.815	0.800	0.706	0.988
CREB1	MAPK1	1859295	1842512	9606.ENSP00000387699	9606.ENSP00000215832	0	0	0	0	0.106	0	0.900	0.878	0.988
GCG	INS	1859292	1844030	9606.ENSP00000387662	9606.ENSP00000250971	0	0	0	0	0.168	0.360	0	0.978	0.988
PTH1R	PTH	1850409	1846770	9606.ENSP00000321999	9606.ENSP00000282091	0	0	0	0	0	0.360	0.900	0.827	0.988
HES5	NOTCH1	1856871	1846535	9606.ENSP00000367714	9606.ENSP00000277541	0	0	0	0	0.052	0	0.900	0.887	0.988
PCNA	ERCC4	1856984	1849305	9606.ENSP00000368438	9606.ENSP00000310520	0	0	0	0	0.063	0.490	0.900	0.793	0.988
UBA52	SMURF1	1859324	1854172	9606.ENSP00000388107	9606.ENSP00000354621	0	0	0	0	0.053	0.811	0.900	0.448	0.988
SRC	HSP90AA1	1853652	1851814	9606.ENSP00000350941	9606.ENSP00000335153	0	0	0	0	0	0.456	0.900	0.807	0.988
STAT1	IL6	1854113	1844631	9606.ENSP00000354394	9606.ENSP00000258743	0	0	0	0	0	0.129	0.900	0.877	0.988
FOS	IL2	1848822	1843096	9606.ENSP00000306245	9606.ENSP00000226730	0	0	0	0	0	0.325	0.900	0.842	0.988
TMPRSS2	AR	1858624	1856164	9606.ENSP00000381588	9606.ENSP00000363822	0	0	0	0	0	0.360	0.900	0.830	0.988
SHC1	ERBB2	1860266	1846101	9606.ENSP00000401303	9606.ENSP00000269571	0	0	0	0	0.052	0.585	0.900	0.738	0.988
AR	SRC	1856164	1853652	9606.ENSP00000363822	9606.ENSP00000350941	0	0	0	0	0	0.424	0.900	0.817	0.988
PRKAA1	PRKAG3	1853021	1843373	9606.ENSP00000346148	9606.ENSP00000233944	0	0	0	0	0.058	0.780	0.900	0.489	0.988
DUSP2	MAPK3	1847145	1845265	9606.ENSP00000288943	9606.ENSP00000263025	0	0	0	0	0.053	0.664	0.900	0.680	0.988
CTNNB1	CDH5	1852818	1852772	9606.ENSP00000344456	9606.ENSP00000344115	0	0	0	0	0	0.739	0.900	0.607	0.988
SRC	KHDRBS1	1853652	1849655	9606.ENSP00000350941	9606.ENSP00000313829	0	0	0	0	0.055	0.452	0.900	0.800	0.988
RAD51B	RAD51C	1861422	1851908	9606.ENSP00000419471	9606.ENSP00000336701	0	0	0.473	0.708	0.057	0.823	0.900	0.956	0.988
CREB1	MAPK3	1859295	1845265	9606.ENSP00000387699	9606.ENSP00000263025	0	0	0	0	0	0	0.900	0.887	0.988
MYC	MAPK1	1856789	1842512	9606.ENSP00000367207	9606.ENSP00000215832	0	0	0	0	0	0.360	0.900	0.833	0.988
